nome,host_name,bairro_group,room_type,price,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365
Outros,Outros,Manhattan,Private room,110,3,47,0.57,1,248
Outros,Outros,Brooklyn,Private room,40,1,1,1.0,2,151
Outros,Outros,Brooklyn,Private room,57,3,33,0.85,3,345
Outros,Outros,Brooklyn,Entire home/apt,375,2,14,0.6,1,75
Outros,Outros,Queens,Private room,195,4,0,0.72,1,0
Outros,Outros,Manhattan,Private room,120,14,14,0.24,2,0
Outros,Outros,Brooklyn,Entire home/apt,89,2,14,1.48,2,180
Outros,Outros,Queens,Entire home/apt,60,30,0,0.72,1,121
Outros,Outros,Brooklyn,Entire home/apt,120,30,143,3.17,1,221
Outros,Outros,Queens,Entire home/apt,120,3,3,0.12,1,0
Outros,Outros,Brooklyn,Shared room,28,1,5,1.5,17,89
Outros,Outros,Brooklyn,Entire home/apt,89,365,1,0.09,2,0
Outros,Outros,Manhattan,Entire home/apt,180,2,178,3.11,1,227
Outros,Outros,Manhattan,Entire home/apt,169,30,2,0.06,121,364
Outros,Outros,Queens,Entire home/apt,51,1,4,0.21,1,0
Outros,Outros,Brooklyn,Private room,38,2,1,0.03,1,0
Outros,Outros,Brooklyn,Private room,115,1,72,2.98,1,0
Outros,Outros,Queens,Private room,70,1,2,2.0,1,342
Outros,Outros,Manhattan,Entire home/apt,314,30,0,0.72,232,330
Outros,Outros,Manhattan,Entire home/apt,149,1,1,0.03,1,0
Outros,Outros,Bronx,Private room,40,2,28,6.72,1,84
Outros,Outros,Queens,Private room,65,2,5,5.0,1,2
Outros,Outros,Manhattan,Entire home/apt,100,2,271,3.85,2,270
Outros,Outros,Manhattan,Private room,101,7,51,0.55,1,307
Outros,Outros,Brooklyn,Private room,99,2,3,0.07,1,0
Outros,Outros,Queens,Private room,47,3,24,1.44,1,0
Outros,Outros,Manhattan,Private room,49,7,10,0.46,1,76
Outros,Outros,Brooklyn,Private room,90,2,56,1.34,1,60
Outros,Outros,Manhattan,Entire home/apt,249,3,85,1.59,1,158
Outros,Outros,Brooklyn,Entire home/apt,125,5,0,0.72,1,15
Outros,Outros,Brooklyn,Entire home/apt,100,3,18,0.33,1,3
Outros,Outros,Brooklyn,Private room,59,1,5,0.13,1,319
Outros,Outros,Brooklyn,Private room,55,1,67,1.11,15,307
Outros,Outros,Brooklyn,Private room,55,30,19,0.52,1,281
Outros,Outros,Brooklyn,Entire home/apt,99,1,114,4.97,1,255
Outros,Outros,Queens,Private room,60,1,109,2.84,1,98
Outros,Outros,Manhattan,Private room,45,3,0,0.72,1,10
Outros,Outros,Manhattan,Entire home/apt,75,1,1,0.04,1,0
Outros,Outros,Brooklyn,Entire home/apt,150,2,2,0.08,1,0
Outros,Outros,Brooklyn,Entire home/apt,300,4,3,0.47,1,350
Outros,Outros,Manhattan,Entire home/apt,95,3,16,4.07,1,0
Outros,Outros,Manhattan,Entire home/apt,159,6,0,0.72,1,0
Outros,Outros,Manhattan,Private room,150,2,12,4.04,1,184
Outros,Outros,Brooklyn,Private room,37,1,1,0.03,1,0
Outros,Outros,Manhattan,Private room,100,1,226,7.75,2,32
Outros,Outros,Manhattan,Private room,60,15,18,0.89,1,0
Outros,Outros,Queens,Private room,59,29,0,0.72,7,41
Outros,Outros,Bronx,Private room,50,1,0,0.72,1,363
Outros,Outros,Manhattan,Private room,115,10,1,0.03,1,0
Outros,Outros,Brooklyn,Entire home/apt,160,2,34,1.84,3,272
Outros,Outros,Brooklyn,Entire home/apt,138,3,74,2.27,1,83
Outros,Outros,Manhattan,Entire home/apt,130,4,2,0.52,2,0
Outros,Outros,Brooklyn,Private room,200,1,0,0.72,1,0
Outros,Outros,Staten Island,Entire home/apt,1250,14,0,0.72,1,23
